"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000506097529505573,0.280895090851288,0.808,0.72,1,"4","Hbp1"
0.000506186844389857,0.400050941971657,0.754,0.599,1,"4","Nop58"
0.000506251107535315,0.546032257722706,0.473,0.349,1,"4","Ift27"
0.00050767599148171,0.735628130673977,0.413,0.293,1,"4","Lin37"
0.000511745473668942,0.531844141921393,0.707,0.549,1,"4","Gsr"
0.000513468194051331,0.553656481088229,0.401,0.286,1,"4","Mblac2"
0.000514160403257731,0.704332452113671,0.611,0.501,1,"4","Ilkap"
0.000515760047463458,0.39338451058943,0.713,0.587,1,"4","Eif4e"
0.000519908149421719,0.300141461325429,0.581,0.45,1,"4","Thap3"
0.000520895853860636,0.557564567787021,0.509,0.371,1,"4","Metap1"
0.000521501507037574,0.580882720428552,0.503,0.387,1,"4","Pigy"
0.000521676020690501,0.325736824302595,0.431,0.302,1,"4","Tprkb"
0.000523703250899361,0.313072359625438,0.587,0.45,1,"4","Zfpl1"
0.000523830229402869,0.45717712179218,0.419,0.294,1,"4","Eefsec"
0.000525779875531857,0.949077795345215,0.251,0.148,1,"4","Gm166"
0.000527544452252219,0.356177556351398,0.527,0.389,1,"4","Eapp"
0.00052776439044852,0.723619825184357,0.671,0.534,1,"4","Ahcyl2"
0.0005283116707963,0.622845878241019,0.425,0.308,1,"4","Fam53a"
0.00053611191758544,0.31248726520347,0.796,0.618,1,"4","Setd3"
0.000536190541104165,0.729555555314519,0.389,0.272,1,"4","2310009B15Rik"
0.000536213681758754,0.650339745307864,0.533,0.434,1,"4","1810063B07Rik"
0.000536503437351376,0.312163184553384,0.635,0.519,1,"4","Rsbn1l"
0.000537174282713236,0.290636712717089,0.587,0.426,1,"4","Dnaja4"
0.000537880083940247,0.892879207712209,0.395,0.277,1,"4","Gca"
0.000538817143583088,0.319100802047118,0.916,0.719,1,"4","Anapc13"
0.000540836349721603,0.578810881478349,0.557,0.426,1,"4","Kbtbd2"
0.00054105175377442,0.265403009302848,0.689,0.546,1,"4","Galnt1"
0.000541842427620056,0.258444570365471,0.958,0.857,1,"4","Arf4"
0.000542825397906714,0.475546867834677,0.527,0.393,1,"4","Mlycd"
0.000544058909740196,0.937847588935535,0.329,0.223,1,"4","1700008J07Rik"
0.000545802146664872,0.294323565292687,0.743,0.573,1,"4","5730437N04Rik"
0.00054826205442802,2.29430532398129,0.359,0.235,1,"4","Gm6981"
0.000548330794521311,0.450094254368313,0.683,0.523,1,"4","Nbea"
0.000548872962553908,0.88369219992308,0.377,0.266,1,"4","Napepld"
0.000551947697931039,0.481208419956385,0.587,0.465,1,"4","Pddc1"
0.000554651605384323,0.51574765358413,0.671,0.541,1,"4","Vamp4"
0.000556426347053029,0.900232373313676,0.311,0.205,1,"4","Chn1"
0.000557059947117681,0.6764540467287,0.503,0.391,1,"4","Brcc3"
0.000557747321483899,0.459899462484019,0.551,0.425,1,"4","Cdadc1"
0.000558903380094221,0.507765039314726,0.635,0.515,1,"4","Rchy1"
0.000560260060400347,0.362920889649282,0.407,0.282,1,"4","Mettl3"
0.000560277350161209,0.591002125106907,0.299,0.181,1,"4","Pdzd4"
0.000560694643546455,0.352383413326394,0.623,0.455,1,"4","C230096C10Rik"
0.000566435804625834,0.781039098283103,0.293,0.185,1,"4","Klhdc9"
0.000566488857727968,0.687243863521601,0.425,0.311,1,"4","Med6"
0.000569836087835192,0.542103151433007,0.359,0.24,1,"4","Gins4"
0.0005709793818783,0.725778294691119,0.323,0.219,1,"4","Znhit3"
0.000575740170885596,0.262895758008392,0.719,0.55,1,"4","Atg13"
